date,title,tenure,location,salary,industry,education,tenure_clean,us_region,salary_usd,industry_group,education_level
2020,data scientist analytics,1.5 years,bay area,160k,faang,"bs mechanical eng, mba",1.5,West coast,160000.0,Big Tech (FAANG),Master's
2020,senior data analyst,"8 months, 3.5 years with the company",houston,60k,fintech,"self taught, no college degree",0.6666666666666666,Unspecified,60000.0,Tech,High School
2020,data analyst,~1 month,sf,"$115,000",faang,bs in finance/ minor in it,0.08333333333333333,West coast,115000.0,Big Tech (FAANG),Bachelor's
2019,data analyst,7 months,minneapolis,$65k,retail,bs in math and data science,0.5833333333333334,Midwest,65000.0,Retail & e-commerce,Master's
2019,business intelligence engineer iii,3.5 years,seattle,"$110,000",amazon,"bachelors in psychology, masters in i/o psychology",3.5,West coast,110000.0,Big Tech (FAANG),Master's
2019,data scientist,8 months,san francisco,135k,tech company,"bs in operation research, ms in data science",0.6666666666666666,West coast,135000.0,Tech,Master's
2019,machine learning engineer,< 1 year,d.c.,"$170,000",defense,ms cs,1.0,Northeast,170000.0,Government,Master's
2019,data scientist,1.5 years,los angeles,"$95,500",legal,"bs economics, finishing up masters in statistics.",1.5,West coast,95500.0,Professional services,Master's
2019,data scientist,2 years,south florida,100k,financial technology,3x b.s.,2.0,Southeast,100000.0,Tech,Bachelor's
2019,data scientist,< 1 year,greater philadelphia area,$110k,fintech startup,phd,1.0,Northeast,110000.0,Tech,PhD
2019,data scientist,<1 year,greater philadelphia,110k,cpg,phd,1.0,Northeast,110000.0,Manufacturing,PhD
2019,analytics manager,8 month as manager; 2 prior as analyst,midwest,"$101,000 usd",health insurance,"ba mathematics, ms data science",0.6666666666666666,Midwest,101000.0,Finance,Master's
2019,senior data analyst,2 years,india,12 lakh annully/ 16.9k usd,marketing,bachleors,2.0,Non-US,15011.355588659064,Professional services,Bachelor's
2019,senior data scientist,3.5 years,san francisco,$175k,tech,phd/ms/bs in engineering,3.5,West coast,175000.0,Tech,PhD
2019,analytics manager,3 months,midwest,$103k,retail,masters in business analytics ; ba in accounting,0.25,Midwest,103000.0,Retail & e-commerce,Master's
2019,it engineer applications etl development but i technically sound 50% of my time doing dba work as well, 2.5 years,"work remotely, but live in denver","76,700",large healthcare not-for-profit,bs in physics,2.5,West coast,76700.0,Healthcare,Bachelor's
2019,data scientist,starting early 2020,d.c. area,"$105,000",financial,"ms in analytics, bs in math",,Northeast,105000.0,Finance,Master's
2019,data scientist,4 months,"austin, tx","$116,500",fintech,mse,0.3333333333333333,Southwest,116500.0,Tech,Master's
